TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,XCoord,YCoord,Latitude,Longitude,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
37667,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,376X Shotwell St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/20/2011 12:00:00 AM,3,3x3,Permit Number 768582,6007793,2105738,37.76239564,-122.4161846,"(37.762395639966044, -122.41618461442236)",8,4,7,28859,19,20
83233,DPW Maintained,Magnolia grandiflora 'Majestic Beauty' :: Majestic Beauty Magnolia,111 Madrid St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,10-04-2017 10:33,3,3x3,Permit Number 54417,6004063.655,2093143.587,37.72760389,-122.4281854,"(37.72760388890366, -122.42818543183589)",9,7,6,28861,5,7
68225,Permitted Site,Ginkgo biloba :: Maidenhair Tree,642 IRVING ST,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,09/27/1993 12:00:00 AM,4,3x3,Permit Number 32019,5993707.3,2106715.4,37.76427724,-122.4649724,"(37.76427724240268, -122.46497243045128)",11,8,11,56,12,14
66073,DPW Maintained,Melaleuca quinquenervia :: Cajeput,654 Pennsylvania Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,08-08-1990 00:00,14,8x8,Permit Number 29116,6014375.998,2104093.99,37.7582495,-122.3933012,"(37.758249497236434, -122.393301238658)",10,3,8,28856,29,26
32284,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,31 Temescal Ter,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,07/14/2009 12:00:00 AM,1,3x3,Permit Number 52573,5997438.818,2111434.025,37.77744782,-122.4524068,"(37.777447823609336, -122.45240676257082)",15,6,2,54,16,18
63720,Permitted Site,Schinus molle :: California Pepper,249 Precita Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,06/19/1987 12:00:00 AM,12,3x3,Permit Number 24385,6008064.488,2100278.684,37.74742086,-122.4148592,"(37.747420861424466, -122.41485923795011)",2,7,7,28859,2,2
81998,DPW Maintained,Pittosporum undulatum :: Victorian Box,1150 Francisco St,3,Sidewalk: Curb side : Cutout,Tree,SFUSD,DPW for City Agency,06-04-2008 00:00,4,3x3,Permit Number 50638,6005939.398,2120724.941,37.8034417,-122.4236612,"(37.80344169994477, -122.42366116024957)",5,9,1,28858,32,32
95745,DPW Maintained,Pittosporum undulatum :: Victorian Box,612 Lisbon St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,09-07-2011 00:00,4,3x3,Permit Number 767490,6001675.816,2089939.237,37.71867007,-122.436211,"(37.7186700722488, -122.4362109862727)",9,7,6,28861,5,7
95773,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,126 Vienna St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,09-07-2011 00:00,5,3x3,Permit Number 767508,6004644.831,2092643.205,37.72626282,-122.4261407,"(37.72626281537074, -122.42614069275187)",9,7,6,28861,5,7
64621,Permitted Site,Pittosporum undulatum :: Victorian Box,63 Lapidge St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,08/15/1988 12:00:00 AM,8,2.5x3,Permit Number 25526,6006033.961,2105140.715,37.76065657,-122.4222261,"(37.760656571557455, -122.422226050785)",2,4,5,28859,19,20
136853,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,628 O'Farrell St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,01-07-2019 00:00,3,Width 4ft,Permit Number 782762,6008257.353,2114172.864,37.78558188,-122.4151757,"(37.785581881752385, -122.41517568353424)",13,10,9,28858,36,36
42669,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1374 Broadway,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,06-09-2003 00:00,6,3x5,Permit Number 46576,6007041.183,2118110.177,37.79632435,-122.4196627,"(37.796324348350524, -122.41966274476437)",5,1,10,28858,32,32
48537,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,627 Taylor St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,08/22/2002 12:00:00 AM,5,3x3,Permit Number 45863,6009227.232,2115180.18,37.78840219,-122.4118914,"(37.7884021862584, -122.4118913792077)",5,1,10,28852,21,21
30742,DPW Maintained,Callistemon viminalis :: Weeping Bottlebrush,380 Webster St,3,Sidewalk: Curb side : Cutout,Tree,SFUSD,DPW for City Agency,01/31/1995 12:00:00 AM,6,3x3,Permit Number 34630,6004180.583,2109863.274,37.77351886,-122.4289728,"(37.77351886233378, -122.42897275499233)",7,9,11,28852,10,9
